   23548,         2,      8.962489,     11.094952,     33.643877,      2.884542,
   23553,         1,     10.058971,     10.588928,     33.848001,      4.934089,
   23554,         2,      9.963625,      9.888279,     33.848001,      4.801726,
   23614,         2,     10.964760,      8.681605,     34.052125,      4.175515,
   23772,         1,     14.111187,      6.112559,     34.052125,      3.191511,
   23774,         2,     14.015841,      5.411910,     34.052125,      2.113279,
   23776,         3,     14.540245,      4.983735,     33.848001,      4.462069,
   23870,         1,     15.636727,      4.477711,     34.052125,      7.464698,
   26196,         1,      5.148638,     17.322944,     34.052125,      7.464698,
   26198,         2,      5.053292,     16.622294,     34.052125,      6.913296,
   26199,         1,      5.673043,     16.894769,     33.848001,      3.194641,
   26216,         3,      6.197447,     16.466595,     33.643877,      4.812225,
   26223,         3,      7.198583,     15.259921,     33.848001,      2.202367,
   26258,         1,      8.199719,     14.053248,     34.052125,      2.164785,
   26310,         3,      9.629913,     11.717751,     34.052125,      1.791155,
   26312,         3,     10.154317,     11.289577,     33.848001,      5.261920,
   26370,         1,     11.250799,     10.783552,     34.052125,      1.986617,
   26374,         3,     11.679857,      9.654729,     33.848001,      2.054221,
   26440,         3,     12.299608,      9.927204,     33.643877,      2.308454,
   26444,         3,     12.776339,      9.148705,     34.052125,      2.537419,
   26634,         2,     15.827419,      5.879009,     34.052125,     10.411069,
   26636,         3,     15.732073,      5.178360,     34.052125,      2.458273,
   26638,         2,     16.256478,      4.750186,     33.848001,      2.441241,
   26744,         2,     16.876228,      5.022660,     33.643877,      3.941312,
   28913,         2,      5.339331,     18.724242,     34.052125,     10.411069,
   28915,         3,      5.243985,     18.023593,     34.052125,      2.458273,
   28917,         2,      5.768389,     17.595418,     33.848001,      2.441241,
   28935,         2,      6.388140,     17.867893,     33.643877,      3.941312,
   28941,         3,      6.769525,     16.388745,     34.052125,     10.659896,
   28942,         2,      7.389276,     16.661219,     33.848001,      7.049888,
   28943,         2,      7.293929,     15.960570,     33.848001,      3.008278,
   28977,         1,      8.390411,     15.454546,     34.052125,      6.643657,
   28979,         3,      8.295065,     14.753897,     34.052125,      3.271976,
   29031,         1,     10.345010,     12.690875,     33.848001,      2.896316,
   29091,         2,     11.441492,     12.184850,     34.052125,      3.396503,
   29094,         3,     11.965896,     11.756676,     33.848001,      1.780878,
   29165,         3,     12.490300,     11.328502,     33.643877,      2.701565,
   29169,         1,     12.967032,     10.550003,     34.052125,      4.558405,
   29171,         2,     12.871685,      9.849354,     34.052125,      3.271879,
   29172,         1,     13.491436,     10.121828,     33.848001,      1.759178,
   29255,         1,     14.015841,      9.693654,     33.643877,      1.791870,
   29257,         1,     13.920494,      8.993005,     33.643877,      1.853843,
   29477,         3,     17.448306,      4.944810,     34.052125,      3.932639,
   29478,         3,     18.068057,      5.217285,     33.848001,      2.198246,
   29479,         1,     17.972710,      4.516636,     33.848001,      6.362526,
   31573,         3,      6.960217,     17.790043,     34.052125,      3.932639,
   31574,         3,      7.579968,     18.062518,     33.848001,      2.198246,
   31575,         1,      7.484622,     17.361868,     33.848001,      6.362526,
   31609,         1,      8.009026,     16.933694,     33.643877,      1.949576,
   31611,         1,      8.581104,     16.855844,     34.052125,      5.336915,
   31613,         1,      8.485758,     16.155195,     34.052125,      2.693530,
   31614,         3,      9.105508,     16.427670,     33.848001,      4.793045,
   31733,         1,     11.536838,     12.885500,     34.052125,      4.151152,
   31811,         1,     13.062378,     11.250652,     34.052125,      2.474269,
   31813,         1,     13.586782,     10.822477,     33.848001,      2.868486,
   31895,         2,     14.206533,     11.094952,     33.643877,      2.884542,
   31897,         1,     14.111187,     10.394303,     33.643877,      2.384014,
   31901,         3,     14.587918,      9.615804,     34.052125,      2.512876,
   31902,         2,     15.207669,      9.888279,     33.848001,      4.801726,
   32001,         2,     15.636727,      8.759455,     33.643877,      2.612267,
   32003,         2,     16.208805,      8.681605,     34.052125,      4.175515,
   32005,         3,     16.113458,      7.980956,     34.052125,      5.701312,
   32123,         3,     17.638998,      6.346108,     34.052125,      1.912115,
   32251,         2,     19.259885,      5.411910,     34.052125,      2.113279,
   32253,         2,     19.164539,      4.711261,     34.052125,      2.343574,
   32254,         3,     19.784289,      4.983735,     33.848001,      4.462069,
   34034,         2,      4.719580,     22.733511,     33.848001,      4.801726,
   34045,         2,      5.148638,     21.604688,     33.643877,      2.612267,
   34047,         2,      5.720716,     21.526838,     34.052125,      4.175515,
   34049,         3,      5.625370,     20.826189,     34.052125,      5.701312,
   34079,         3,      7.150910,     19.191341,     34.052125,      1.912115,
   34119,         2,      8.771796,     18.257142,     34.052125,      2.113279,
   34121,         2,      8.676450,     17.556493,     34.052125,      2.343574,
   34122,         3,      9.296201,     17.828968,     33.848001,      4.462069,
   34173,         2,     10.297336,     16.622294,     34.052125,      6.913296,
   34177,         3,     10.726395,     15.493471,     33.848001,      1.981892,
   34321,         2,     13.253070,     12.651950,     34.052125,      4.347911,
   34411,         2,     14.301879,     11.795601,     33.643877,      2.213400,
   34413,         3,     14.873957,     11.717751,     34.052125,      1.791155,
   34416,         3,     15.398361,     11.289577,     33.848001,      5.261920,
   34417,         1,     15.303015,     10.588928,     33.848001,      4.934089,
   34522,         3,     16.923901,      9.654729,     33.848001,      2.054221,
   34761,         1,     19.355231,      6.112559,     34.052125,      3.191511,
   36366,         3,      4.385868,     24.562984,     34.052125,      1.791155,
   36369,         3,      4.910273,     24.134809,     33.848001,      5.261920,
