           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
           8                2                2
    51.063    80.696    68.308   1  1
    51.063     4.250    68.308   1  1
     4.250     4.250    68.308   1  1
     4.250    80.696    68.308   1  1
    51.063    80.696     4.250   1  1
    51.063     4.250     4.250   1  1
     4.250     4.250     4.250   1  1
     4.250    80.696     4.250   1  1
